"team_id","team_name","team_url","conference_id","conference","division","year","season_id"
NA,"Cincinnati","/teams/85306",823,"AAC",1,2016,NA
NA,"East Carolina","/teams/85321",823,"AAC",1,2016,NA
NA,"Houston","/teams/85351",823,"AAC",1,2016,NA
NA,"Memphis","/teams/85389",823,"AAC",1,2016,NA
NA,"South Fla.","/teams/85481",823,"AAC",1,2016,NA
NA,"Tulane","/teams/85509",823,"AAC",1,2016,NA
NA,"UCF","/teams/85303",823,"AAC",1,2016,NA
NA,"UConn","/teams/85311",823,"AAC",1,2016,NA
NA,"Boston College","/teams/85278",821,"ACC",1,2016,NA
NA,"Clemson","/teams/85308",821,"ACC",1,2016,NA
NA,"Duke","/teams/85320",821,"ACC",1,2016,NA
NA,"Florida St.","/teams/85332",821,"ACC",1,2016,NA
NA,"Georgia Tech","/teams/85341",821,"ACC",1,2016,NA
NA,"Louisville","/teams/85377",821,"ACC",1,2016,NA
NA,"Miami (FL)","/teams/85392",821,"ACC",1,2016,NA
NA,"NC State","/teams/85424",821,"ACC",1,2016,NA
NA,"North Carolina","/teams/85406",821,"ACC",1,2016,NA
NA,"Notre Dame","/teams/85434",821,"ACC",1,2016,NA
NA,"Pittsburgh","/teams/85449",821,"ACC",1,2016,NA
NA,"Virginia","/teams/85520",821,"ACC",1,2016,NA
NA,"Virginia Tech","/teams/85519",821,"ACC",1,2016,NA
NA,"Wake Forest","/teams/85522",821,"ACC",1,2016,NA
NA,"FGCU","/teams/85556",920,"ASUN",1,2016,NA
NA,"Jacksonville","/teams/85362",920,"ASUN",1,2016,NA
NA,"Kennesaw St.","/teams/85544",920,"ASUN",1,2016,NA
NA,"Lipscomb","/teams/85555",920,"ASUN",1,2016,NA
NA,"NJIT","/teams/85414",920,"ASUN",1,2016,NA
NA,"North Florida","/teams/85548",920,"ASUN",1,2016,NA
NA,"Stetson","/teams/85494",920,"ASUN",1,2016,NA
NA,"USC Upstate","/teams/85551",920,"ASUN",1,2016,NA
NA,"Binghamton","/teams/85277",845,"America East",1,2016,NA
NA,"Hartford","/teams/85345",845,"America East",1,2016,NA
NA,"Maine","/teams/85380",845,"America East",1,2016,NA
NA,"Stony Brook","/teams/85495",845,"America East",1,2016,NA
NA,"UAlbany","/teams/85263",845,"America East",1,2016,NA
NA,"UMBC","/teams/85384",845,"America East",1,2016,NA
NA,"UMass Lowell","/teams/85378",845,"America East",1,2016,NA
NA,"Davidson","/teams/85316",820,"Atlantic 10",1,2016,NA
NA,"Dayton","/teams/85317",820,"Atlantic 10",1,2016,NA
NA,"Fordham","/teams/85334",820,"Atlantic 10",1,2016,NA
NA,"George Mason","/teams/85336",820,"Atlantic 10",1,2016,NA
